Sr.#,District,Tehsil,Markaz,EMIS,"School Name","Male Baseline","Male Current","Male Target","Female Baseline","Female Current","Female Target","Total Baseline","Total Current","Total Target","Achievement %"
1,ATTOCK,ATTOCK,"ATTOCK SADDAR - FEMALE",37110068,"GGES (MC) ATTOCK CITY",55,62,58,196,197,206,251,259,264,61.5%
2,ATTOCK,ATTOCK,"ATTOCK SADDAR - FEMALE",37110069,"GGES (MC) MEHAR PURA",66,82,68,284,286,293,350,368,361,100%
3,ATTOCK,ATTOCK,"ATTOCK SADDAR - FEMALE",37110229,"GGES KOT NAWAB KHAN",42,55,45,64,68,68,106,123,113,100%
4,ATTOCK,ATTOCK,"ATTOCK SADDAR - FEMALE",37110206,"GGPS (MC) R BLOCK",72,79,76,92,99,98,164,178,174,100%
5,ATTOCK,ATTOCK,"ATTOCK SADDAR - FEMALE",37110245,"GGPS CHHOI",0,2,0,25,27,29,25,29,29,100%
6,ATTOCK,ATTOCK,"ATTOCK SADDAR - FEMALE",37110221,"GGPS DHOK GAMA",54,58,57,67,70,71,121,128,128,100%
7,ATTOCK,ATTOCK,"ATTOCK SADDAR - FEMALE",37110264,"GGPS DHOK MOCHIAN AKHORI (PSSP-II)",0,0,0,0,0,0,0,0,0,0%
8,ATTOCK,ATTOCK,"ATTOCK SADDAR - FEMALE",37110255,"GGPS DHOK WARAICH",9,13,12,3,3,4,12,16,16,100%
9,ATTOCK,ATTOCK,"ATTOCK SADDAR - FEMALE",37110247,"GGPS JABA DAKHLI SARWALA",63,67,67,76,87,80,139,154,147,100%
10,ATTOCK,ATTOCK,"ATTOCK SADDAR - FEMALE",37110381,"GGPS MEHR PURA SHARQI",53,53,56,149,162,159,202,215,215,100%
11,ATTOCK,ATTOCK,"ATTOCK SADDAR - FEMALE",37110244,"GGPS SHIN BAGH KHURD",47,53,49,175,176,181,222,229,230,87.5%
12,ATTOCK,ATTOCK,"ATTOCK SADDAR - FEMALE",37110234,"GGPS THANDI BHAEER",0,0,0,0,0,0,0,0,0,0%
13,ATTOCK,ATTOCK,"ATTOCK SADDAR - FEMALE",37110209,"GMPS (MC) K-BLOCK ATTOCK CITY NO.2",71,85,76,114,120,123,185,205,199,100%
14,ATTOCK,ATTOCK,"ATTOCK SADDAR - MALE",37110131,"GES JASSIAN",140,141,156,1,0,1,141,141,157,0%
15,ATTOCK,ATTOCK,"ATTOCK SADDAR - MALE",37110045,"GES SHEEN BAGH KALAN",113,111,119,0,6,0,113,117,119,66.7%
16,ATTOCK,ATTOCK,"ATTOCK SADDAR - MALE",37110098,"GPS (MC) ATTOCK NO.3",108,101,123,43,51,49,151,152,172,4.8%
17,ATTOCK,ATTOCK,"ATTOCK SADDAR - MALE",37110097,"GPS (MC) CHOI WEST ATTOCK CITY",262,263,283,81,91,88,343,354,371,39.3%
18,ATTOCK,ATTOCK,"ATTOCK SADDAR - MALE",37110092,"GPS ATTOCK SADAR",143,147,156,149,145,162,292,292,318,0%
19,ATTOCK,ATTOCK,"ATTOCK SADDAR - MALE",37110145,"GPS BARYAR",103,103,114,0,0,0,103,103,114,0%
20,ATTOCK,ATTOCK,"ATTOCK SADDAR - MALE",37110129,"GPS DHOK JAWANDA",99,76,108,0,0,0,99,76,108,0%
21,ATTOCK,ATTOCK,"ATTOCK SADDAR - MALE",37110137,"GPS DHOK MOCHIAN AKHORI",0,0,0,0,0,0,0,0,0,0%
22,ATTOCK,ATTOCK,"ATTOCK SADDAR - MALE",37110141,"GPS DHOK NAWAZ",28,28,31,21,23,23,49,51,54,40%
23,ATTOCK,ATTOCK,"ATTOCK SADDAR - MALE",37110132,"GPS DHOK PATTA",0,0,0,0,0,0,0,0,0,0%
24,ATTOCK,ATTOCK,"ATTOCK SADDAR - MALE",37110146,"GPS PINDWAL",154,163,164,127,130,135,281,293,299,66.7%
25,ATTOCK,ATTOCK,"ATTOCK SADDAR - MALE",37110117,"GPS SALAR (PSSP-III)",0,0,0,0,0,0,0,0,0,0%
26,ATTOCK,ATTOCK,"ATTOCK SADDAR - MALE",37110134,"GPS SARWALA",181,186,196,57,53,62,238,239,258,5%
27,ATTOCK,ATTOCK,"BARYAR - FEMALE",37110256,"GGES DHERI KOT",35,41,37,101,91,108,136,132,145,0%
28,ATTOCK,ATTOCK,"BARYAR - FEMALE",37110226,"GGES MONGI WALI",49,56,51,155,152,163,204,208,214,40%
29,ATTOCK,ATTOCK,"BARYAR - FEMALE",37110272,"GGPS DHOK GHAZI",20,23,23,11,11,12,31,34,35,75%
30,ATTOCK,ATTOCK,"BARYAR - FEMALE",37110227,"GGPS DHOK JAWANDA",15,16,16,89,83,94,104,99,110,0%
31,ATTOCK,ATTOCK,"BARYAR - FEMALE",37110228,"GGPS KANJOOR",11,13,13,19,17,22,30,30,35,0%
32,ATTOCK,ATTOCK,"BARYAR - FEMALE",37110222,"GGPS PINDWAL",2,1,2,65,66,69,67,67,71,0%
33,ATTOCK,ATTOCK,"BARYAR - FEMALE",37110240,"GGPS SURAG",21,25,23,48,46,52,69,71,75,33.3%
34,ATTOCK,ATTOCK,"BARYAR - FEMALE",37110359,"GMPS AKHORI",104,100,115,26,27,29,130,127,144,0%
35,ATTOCK,ATTOCK,"BARYAR - FEMALE",37110223,"GMPS DHERI LAGAL",37,42,39,38,41,40,75,83,79,100%
36,ATTOCK,ATTOCK,"BARYAR - FEMALE",37110224,"GMPS DHERY CHOHAN",0,0,0,0,0,0,0,0,0,0%
37,ATTOCK,ATTOCK,"BARYAR - FEMALE",37110248,"GMPS NAKODAR (SHEENBAGH)",0,0,0,0,0,0,0,0,0,0%
38,ATTOCK,ATTOCK,"BARYAR - FEMALE",37110243,"GMPS NAWA",55,54,57,45,41,47,100,95,104,0%
39,ATTOCK,ATTOCK,"BARYAR - FEMALE",37110360,"GPS MODEL DHOK SAWAIN",70,74,72,77,77,79,147,151,151,100%
40,ATTOCK,ATTOCK,"BOLIAN WAL - FEMALE",37110214,"GGCMS PIND TRAIR",67,74,72,74,81,80,141,155,152,100%
41,ATTOCK,ATTOCK,"BOLIAN WAL - FEMALE",37110212,"GGES (HAYYAT KHAN) DHOK HASSU",76,81,79,181,178,189,257,259,268,18.2%
42,ATTOCK,ATTOCK,"BOLIAN WAL - FEMALE",37110079,"GGES DAURDAD",0,0,0,241,242,253,241,242,253,8.3%
43,ATTOCK,ATTOCK,"BOLIAN WAL - FEMALE",37110216,"GGPS ARANG",0,0,0,0,0,0,0,0,0,0%
44,ATTOCK,ATTOCK,"BOLIAN WAL - FEMALE",37110263,"GGPS BOORA",33,35,35,27,29,29,60,64,64,100%
45,ATTOCK,ATTOCK,"BOLIAN WAL - FEMALE",37110202,"GGPS DHOK AULIA",0,0,0,0,0,0,0,0,0,0%
46,ATTOCK,ATTOCK,"BOLIAN WAL - FEMALE",37110273,"GGPS DHOK TERBHATI (GOLRA)",0,0,0,120,118,127,120,118,127,0%
47,ATTOCK,ATTOCK,"BOLIAN WAL - FEMALE",37110210,"GGPS KAHOTTRA",0,0,0,174,186,184,174,186,184,100%
48,ATTOCK,ATTOCK,"BOLIAN WAL - FEMALE",37110213,"GGPS KAWA PIND",52,49,55,51,55,54,103,104,109,16.7%
49,ATTOCK,ATTOCK,"BOLIAN WAL - FEMALE",37110260,"GGPS MIRZA NO.1",37,41,39,63,65,67,100,106,106,100%
50,ATTOCK,ATTOCK,"BOLIAN WAL - FEMALE",37110258,"GGPS SANJWAL",0,0,0,142,142,152,142,142,152,0%
51,ATTOCK,ATTOCK,"BOLIAN WAL - FEMALE",37110215,"GGPS SAQA ABAD",0,0,0,0,0,0,0,0,0,0%
52,ATTOCK,ATTOCK,"BOLIAN WAL - FEMALE",37110211,"GGPS TARBETHI (PSSP-II)",0,0,0,0,0,0,0,0,0,0%
53,ATTOCK,ATTOCK,"BOLIAN WAL - MALE",37110329,"GES KHANDA KHOOH",220,230,230,120,118,126,340,348,356,50%
54,ATTOCK,ATTOCK,"BOLIAN WAL - MALE",37110048,"GES SANJWAL",205,206,225,1,0,1,206,206,226,0%
55,ATTOCK,ATTOCK,"BOLIAN WAL - MALE",37110102,"GPS ARANG",0,0,0,0,0,0,0,0,0,0%
56,ATTOCK,ATTOCK,"BOLIAN WAL - MALE",37110139,"GPS BOORA (PSSP-II)",0,0,0,0,0,0,0,0,0,0%
57,ATTOCK,ATTOCK,"BOLIAN WAL - MALE",37110383,"GPS DAURDAD",137,142,157,0,0,0,137,142,157,25%
58,ATTOCK,ATTOCK,"BOLIAN WAL - MALE",37110103,"GPS DHOK BAQA",0,0,0,0,0,0,0,0,0,0%
59,ATTOCK,ATTOCK,"BOLIAN WAL - MALE",37110093,"GPS DHOK FATEH SARWALA",0,0,0,0,0,0,0,0,0,0%
60,ATTOCK,ATTOCK,"BOLIAN WAL - MALE",37110142,"GPS DHOK JOGIAN",48,47,50,41,38,43,89,85,93,0%
61,ATTOCK,ATTOCK,"BOLIAN WAL - MALE",37110101,"GPS DHOK TARBETHI (GOLRA)",77,83,83,0,0,0,77,83,83,100%
62,ATTOCK,ATTOCK,"BOLIAN WAL - MALE",37110099,"GPS DHOK UMRA",18,19,20,16,19,18,34,38,38,100%
63,ATTOCK,ATTOCK,"BOLIAN WAL - MALE",37110100,"GPS KAHUTRA",0,0,0,0,0,0,0,0,0,0%
64,ATTOCK,ATTOCK,"BOLIAN WAL - MALE",37110337,"GPS MASJID LOHARAN (PSSP-III)",0,0,0,0,0,0,0,0,0,0%
65,ATTOCK,ATTOCK,"BOLIAN WAL - MALE",37110148,"GPS PIR KOT",0,0,2,0,0,2,0,0,4,0%
66,ATTOCK,ATTOCK,"BOLIAN WAL - MALE",37110104,"GPS SAQA ABAD",0,0,0,0,0,0,0,0,0,0%
67,ATTOCK,ATTOCK,"KAMRA - FEMALE",37110362,"GGCMS F-6/RF PAC KAMRA",1,1,1,274,275,297,275,276,298,4.3%
68,ATTOCK,ATTOCK,"KAMRA - FEMALE",37110070,"GGES GONDAL",0,0,0,487,530,508,487,530,508,100%
69,ATTOCK,ATTOCK,"KAMRA - FEMALE",37110257,"GGES JASSIAN",0,0,0,244,260,260,244,260,260,100%
70,ATTOCK,ATTOCK,"KAMRA - FEMALE",37110225,"GGPS DHOK HAJI AHMED",42,43,44,60,59,63,102,102,107,0%
71,ATTOCK,ATTOCK,"KAMRA - FEMALE",37110319,"GGPS DHOK KISRAN",39,29,42,37,35,40,76,64,82,0%
72,ATTOCK,ATTOCK,"KAMRA - FEMALE",37110233,"GGPS FATU CHAK",0,0,0,0,0,0,0,0,0,0%
73,ATTOCK,ATTOCK,"KAMRA - FEMALE",37110220,"GGPS KAMRA KHURD",0,0,0,0,0,0,0,0,0,0%
74,ATTOCK,ATTOCK,"KAMRA - FEMALE",37110239,"GGPS MIR PUR HUSSAIN",0,0,0,0,0,0,0,0,0,0%
75,ATTOCK,ATTOCK,"KAMRA - FEMALE",37110246,"GGPS PIND SULEMAN MAKHAN",0,0,0,102,98,112,102,98,112,0%
76,ATTOCK,ATTOCK,"KAMRA - FEMALE",37110274,"GGPS ROOMIAN",0,0,0,0,0,0,0,0,0,0%
77,ATTOCK,ATTOCK,"KAMRA - FEMALE",37110265,"GGPS THIKRIAN",0,0,0,0,0,0,0,0,0,0%
78,ATTOCK,ATTOCK,"KAMRA - MALE",37110136,"GES HAJI SHAH",562,592,604,0,0,0,562,592,604,71.4%
79,ATTOCK,ATTOCK,"KAMRA - MALE",37110110,"GES URTAK PUR",182,198,194,23,21,25,205,219,219,100%
80,ATTOCK,ATTOCK,"KAMRA - MALE",37110096,"GPS (MC) ATTOCK NO.6",107,107,119,42,48,47,149,155,166,35.3%
81,ATTOCK,ATTOCK,"KAMRA - MALE",37110095,"GPS AMF KAMRA",132,124,142,79,94,85,211,218,227,43.8%
82,ATTOCK,ATTOCK,"KAMRA - MALE",37110124,"GPS FATU CHAK",0,0,0,0,0,0,0,0,0,0%
83,ATTOCK,ATTOCK,"KAMRA - MALE",37110118,"GPS GONDAL",207,216,228,1,0,1,208,216,229,38.1%
84,ATTOCK,ATTOCK,"KAMRA - MALE",37110108,"GPS KAMRA KHURD",0,0,0,0,0,0,0,0,0,0%
85,ATTOCK,ATTOCK,"KAMRA - MALE",37110105,"GPS MADROTA",89,87,98,11,11,12,100,98,110,0%
86,ATTOCK,ATTOCK,"KAMRA - MALE",37110109,"GPS PIND SULEMAN MAKHAN",100,97,118,0,6,0,100,103,118,16.7%
87,ATTOCK,ATTOCK,"KAMRA - MALE",37110128,"GPS ROOMIAN",0,0,0,0,0,0,0,0,0,0%
88,ATTOCK,ATTOCK,"KAMRA - MALE",37110107,"GPS THEEKRIAN",42,47,46,13,13,14,55,60,60,100%
89,ATTOCK,ATTOCK,"KAMRA - MALE",37110140,"GPS TOOTIAN WALI MASJID",64,72,67,40,37,42,104,109,109,100%
90,ATTOCK,ATTOCK,SECONDARY-WING,37110208,"GGHS (MC) CHOI WEST ATTOCK CITY",0,0,0,683,703,713,683,703,713,66.7%
91,ATTOCK,ATTOCK,SECONDARY-WING,37110075,"GGHS AKHORI",0,0,0,367,367,389,367,367,389,0%
92,ATTOCK,ATTOCK,SECONDARY-WING,37110030,"GGHS AMF KAMRA CANTT",393,394,411,1538,1561,1607,1931,1955,2018,27.6%
93,ATTOCK,ATTOCK,SECONDARY-WING,37110029,"GGHS ATTOCK NO.2",0,0,0,916,927,1024,916,927,1024,10.2%
94,ATTOCK,ATTOCK,SECONDARY-WING,37110242,"GGHS BARYAR",0,0,0,340,339,357,340,339,357,0%
95,ATTOCK,ATTOCK,SECONDARY-WING,37110036,"GGHS BOLIAN WAL",93,89,100,640,648,688,733,737,788,7.3%
96,ATTOCK,ATTOCK,SECONDARY-WING,37110077,"GGHS BOOTA",12,9,12,522,528,542,534,537,554,15%
97,ATTOCK,ATTOCK,SECONDARY-WING,37110073,"GGHS DAKHNAIR (ATTOCK)",1,1,1,467,502,491,468,503,492,100%
98,ATTOCK,ATTOCK,SECONDARY-WING,37110071,"GGHS FAQEER ABAD",0,0,0,789,806,827,789,807,827,47.4%
99,ATTOCK,ATTOCK,SECONDARY-WING,37110076,"GGHS KAMRA KALAN",0,1,0,917,916,964,917,917,964,0%
100,ATTOCK,ATTOCK,SECONDARY-WING,37110232,"GGHS MADROTHA",1,1,1,246,258,260,247,259,261,85.7%
101,ATTOCK,ATTOCK,SECONDARY-WING,37110072,"GGHS MARI KANJOOR",30,34,31,475,485,491,505,519,522,82.4%
102,ATTOCK,ATTOCK,SECONDARY-WING,37110067,"GGHS PAF BASE COLONY",183,187,189,382,385,394,565,572,583,38.9%
103,ATTOCK,ATTOCK,SECONDARY-WING,37110066,"GGHS PEOPLES COLONY ATTOCK",0,0,0,1201,1201,1275,1201,1201,1275,0%
104,ATTOCK,ATTOCK,SECONDARY-WING,37110204,"GGHS PIND GHULAM KHAN",69,83,71,182,220,186,251,303,257,100%
105,ATTOCK,ATTOCK,SECONDARY-WING,37110078,"GGHS SALAR",7,5,7,444,442,459,451,447,466,0%
106,ATTOCK,ATTOCK,SECONDARY-WING,37110074,"GGHS SHAKAR DARA",0,0,0,633,633,702,633,633,702,0%
107,ATTOCK,ATTOCK,SECONDARY-WING,37110033,"GGHS SHEEN BAGH",0,1,0,796,780,835,796,781,835,0%
108,ATTOCK,ATTOCK,SECONDARY-WING,37110028,"GGHSS ATTOCK CITY NO.1",0,1,0,1883,1847,2038,1883,1848,2038,0%
109,ATTOCK,ATTOCK,SECONDARY-WING,37110034,"GGHSS HAJI SHAH",0,0,0,472,505,476,472,505,476,100%
110,ATTOCK,ATTOCK,SECONDARY-WING,37110032,"GGHSS MIRZA",49,66,50,773,795,783,822,861,833,100%
111,ATTOCK,ATTOCK,SECONDARY-WING,37110031,"GGHSS PAC F-6 KAMRA",1,1,1,1467,1314,1579,1468,1315,1580,0%
112,ATTOCK,ATTOCK,SECONDARY-WING,37110004,"GHS (ISLAMIA) ATTOCK",430,472,503,0,0,0,430,472,503,57.5%
113,ATTOCK,ATTOCK,SECONDARY-WING,37110041,"GHS (MC) ATTOCK CITY",631,679,666,0,1,0,631,680,666,100%
114,ATTOCK,ATTOCK,SECONDARY-WING,37110008,"GHS AKHORI",135,138,148,0,0,0,135,138,148,23.1%
115,ATTOCK,ATTOCK,SECONDARY-WING,37110050,"GHS BOLIAN WAL",366,378,385,37,35,39,403,413,424,47.6%
116,ATTOCK,ATTOCK,SECONDARY-WING,37110047,"GHS BOOTA",411,415,440,0,1,0,411,416,440,17.2%
117,ATTOCK,ATTOCK,SECONDARY-WING,37110044,"GHS CHHOI BANGLA",107,120,121,0,0,0,107,120,121,92.9%
118,ATTOCK,ATTOCK,SECONDARY-WING,37110052,"GHS DAKHNAIR (ATTOCK)",254,285,258,14,15,14,268,300,272,100%
119,ATTOCK,ATTOCK,SECONDARY-WING,37110053,"GHS FAQIR ABAD",466,500,492,0,0,0,466,500,492,100%
120,ATTOCK,ATTOCK,SECONDARY-WING,37110013,"GHS GARYALA",265,277,318,0,0,0,265,277,318,22.6%
121,ATTOCK,ATTOCK,SECONDARY-WING,37110042,"GHS GOLRA",500,509,511,0,0,0,500,509,511,81.8%
122,ATTOCK,ATTOCK,SECONDARY-WING,37110011,"GHS HAJI SHAH",252,259,269,0,0,0,252,259,269,41.2%
123,ATTOCK,ATTOCK,SECONDARY-WING,37110014,"GHS KAMRA KALAN",393,417,425,2,2,2,395,419,427,75%
124,ATTOCK,ATTOCK,SECONDARY-WING,37110049,"GHS KAWA",291,302,307,0,0,0,291,302,307,68.8%
125,ATTOCK,ATTOCK,SECONDARY-WING,37110051,"GHS MARI KANJOOR",400,422,416,6,5,6,406,427,422,100%
126,ATTOCK,ATTOCK,SECONDARY-WING,37110009,"GHS MIRZA",634,655,676,110,127,117,744,782,793,77.6%
127,ATTOCK,ATTOCK,SECONDARY-WING,37110003,"GHS PILOT ATTOCK",1071,1235,1193,0,2,0,1071,1237,1193,100%
128,ATTOCK,ATTOCK,SECONDARY-WING,37110046,"GHS SHAKAR DARA",810,818,836,0,0,0,810,818,836,30.8%
129,ATTOCK,ATTOCK,SECONDARY-WING,37110006,"GHS SHEEN BAGH",333,367,376,0,0,0,333,367,376,79.1%
130,ATTOCK,ATTOCK,SECONDARY-WING,37110043,"GHS SOJHANDA",126,146,134,0,0,0,126,146,134,100%
131,ATTOCK,ATTOCK,SECONDARY-WING,37110005,"GHSS ATTOCK NO.2",579,602,617,0,0,0,579,602,617,60.5%
132,ATTOCK,ATTOCK,SECONDARY-WING,37110010,"GHSS DAURDAD",297,317,308,0,0,0,297,317,308,100%
133,ATTOCK,ATTOCK,SECONDARY-WING,37110007,"GHSS F-6 PAC KAMRA",1065,1146,1080,17,11,17,1082,1157,1097,100%
134,ATTOCK,ATTOCK,"SHAKARDARA - FEMALE",37110267,"GGCMS SHAKAR DARA",0,1,0,430,431,456,430,432,456,7.7%
135,ATTOCK,ATTOCK,"SHAKARDARA - FEMALE",37110250,"GGES BROTHA",0,0,0,107,108,117,107,108,117,10%
136,ATTOCK,ATTOCK,"SHAKARDARA - FEMALE",37110205,"GGPS APWA",76,78,84,32,30,35,108,108,119,0%
137,ATTOCK,ATTOCK,"SHAKARDARA - FEMALE",37110268,"GGPS DHAIR",15,20,16,87,91,94,102,111,110,100%
138,ATTOCK,ATTOCK,"SHAKARDARA - FEMALE",37110271,"GGPS DHOK BANARAS",33,37,37,29,25,33,62,62,70,0%
139,ATTOCK,ATTOCK,"SHAKARDARA - FEMALE",37110219,"GGPS DHOK KALA - SURAG SALAR (PSSP-II)",0,0,0,0,0,0,0,0,0,0%
140,ATTOCK,ATTOCK,"SHAKARDARA - FEMALE",37110230,"GGPS DHOK MOLVI MUHAMMAD (PSSP-II)",0,0,0,0,0,0,0,0,0,0%
141,ATTOCK,ATTOCK,"SHAKARDARA - FEMALE",37110217,"GGPS DHOK SHARFA",82,82,90,88,87,97,170,169,187,0%
142,ATTOCK,ATTOCK,"SHAKARDARA - FEMALE",37110266,"GGPS JABA (ATTOCK)",28,34,30,122,108,129,150,142,159,0%
143,ATTOCK,ATTOCK,"SHAKARDARA - FEMALE",37110231,"GGPS SHAKARDARA NO. 2",49,55,52,193,202,205,242,257,257,100%
144,ATTOCK,ATTOCK,"SHAKARDARA - FEMALE",37110252,"GMPS GARYALA",67,64,71,55,61,58,122,125,129,42.9%
145,ATTOCK,ATTOCK,"SHAKARDARA - FEMALE",37110203,"GMPS MOHALLAH SHAH ABAD",92,106,96,103,96,108,195,202,204,77.8%
146,ATTOCK,ATTOCK,"SHAKARDARA - FEMALE",37110253,"GMPS NOOR PUR KARAM ALIA",17,18,19,16,17,18,33,35,37,50%
147,ATTOCK,ATTOCK,"SHAKARDARA - MALE",37110119,"GES BROTHA",94,85,105,0,0,0,94,85,105,0%
148,ATTOCK,ATTOCK,"SHAKARDARA - MALE",37110147,"GES DHOK HAJI AHMED",326,335,344,0,0,0,326,335,344,50%
149,ATTOCK,ATTOCK,"SHAKARDARA - MALE",37110112,"GPS BAGH NELAB",36,36,40,24,23,27,60,59,67,0%
150,ATTOCK,ATTOCK,"SHAKARDARA - MALE",37110392,"GPS CHOI",0,0,0,0,0,0,0,0,0,0%
151,ATTOCK,ATTOCK,"SHAKARDARA - MALE",37110116,"GPS DHAIR",96,93,108,8,11,9,104,104,117,0%
152,ATTOCK,ATTOCK,"SHAKARDARA - MALE",37110123,"GPS DHERI KOT",0,0,0,0,0,0,0,0,0,0%
153,ATTOCK,ATTOCK,"SHAKARDARA - MALE",37110364,"GPS DHOK BHURA",41,36,45,22,27,24,63,63,69,0%
154,ATTOCK,ATTOCK,"SHAKARDARA - MALE",37110133,"GPS DHOK GAMA",70,86,74,53,69,56,123,155,130,100%
155,ATTOCK,ATTOCK,"SHAKARDARA - MALE",37110113,"GPS GHORAMAR",126,135,135,42,48,45,168,183,180,100%
156,ATTOCK,ATTOCK,"SHAKARDARA - MALE",37110114,"GPS JABA (DAKHNAIR)",87,83,93,18,24,19,105,107,112,28.6%
157,ATTOCK,ATTOCK,"SHAKARDARA - MALE",37110363,"GPS MONGI WALI",0,0,0,0,0,0,0,0,0,0%
158,ATTOCK,ATTOCK,"SHAKARDARA - MALE",37110391,"GPS SOJHANDA",213,221,226,4,7,4,217,228,230,84.6%
159,ATTOCK,ATTOCK,"SHAKARDARA - MALE",37110390,"GPS SURAG SALAR",25,26,27,23,22,25,48,48,52,0%
160,ATTOCK,ATTOCK,"SURG - FEMALE",37110382,"GGES HAJI SHAH",0,0,0,1020,1024,1062,1020,1024,1062,9.5%
161,ATTOCK,ATTOCK,"SURG - FEMALE",37110262,"GGES MIRZA NO.2",125,136,128,276,282,282,401,418,410,100%
162,ATTOCK,ATTOCK,"SURG - FEMALE",37110379,"GGES SANJWAL CANTT",121,110,126,200,200,208,321,310,334,0%
163,ATTOCK,ATTOCK,"SURG - FEMALE",37110254,"GGES SOJHANDA",2,8,2,161,172,171,163,180,173,100%
164,ATTOCK,ATTOCK,"SURG - FEMALE",37110218,"GGPS BAGH NELAB",19,21,21,32,27,36,51,48,57,0%
165,ATTOCK,ATTOCK,"SURG - FEMALE",37110269,"GGPS DHOK JOGIAN",16,19,18,20,22,22,36,41,40,100%
166,ATTOCK,ATTOCK,"SURG - FEMALE",37110241,"GGPS DHOK KHOSHA",0,0,0,0,0,0,0,0,0,0%
167,ATTOCK,ATTOCK,"SURG - FEMALE",37110261,"GGPS FAQIR ABAD (merged No.3354/CEO), 24-10-2020",0,0,0,0,0,0,0,0,0,0%
168,ATTOCK,ATTOCK,"SURG - FEMALE",37110251,"GGPS GHOARA MAR",9,12,9,100,103,105,109,115,114,100%
169,ATTOCK,ATTOCK,"SURG - FEMALE",37110259,"GGPS GOLRA",0,0,0,367,383,388,367,383,388,76.2%
170,ATTOCK,ATTOCK,"SURG - FEMALE",37110270,"GGPS QAZI ABAD",54,50,57,47,50,50,101,100,107,0%
171,ATTOCK,ATTOCK,"SURG - FEMALE",37110249,"GGPS SHEEN BAGH KALAN",10,21,11,95,85,101,105,106,112,14.3%
172,ATTOCK,"FATEH JANG","BAHTER - FEMALE",37120169,"GGES DHAREK",0,0,0,351,379,379,351,379,379,100%
173,ATTOCK,"FATEH JANG","BAHTER - FEMALE",37120170,"GGES LANGER",0,0,0,419,450,450,419,450,450,100%
174,ATTOCK,"FATEH JANG","BAHTER - FEMALE",37120178,"GGPS BEHLOOL",33,39,35,34,32,36,67,71,71,100%
175,ATTOCK,"FATEH JANG","BAHTER - FEMALE",37120168,"GGPS BHATAR",1,18,1,195,198,215,196,216,216,100%
176,ATTOCK,"FATEH JANG","BAHTER - FEMALE",37120265,"GGPS BHATU",0,0,0,0,0,0,0,0,0,0%
177,ATTOCK,"FATEH JANG","BAHTER - FEMALE",37120280,"GGPS DHOK MERA",0,0,0,0,0,0,0,0,0,0%
178,ATTOCK,"FATEH JANG","BAHTER - FEMALE",37120183,"GGPS JOHAD (PSSP-I)",0,0,0,0,0,0,0,0,0,0%
179,ATTOCK,"FATEH JANG","BAHTER - FEMALE",37120279,"GGPS KATHA COLONY",0,0,0,0,0,0,0,0,0,0%
180,ATTOCK,"FATEH JANG","BAHTER - FEMALE",37120289,"GGPS KOT SALABAT",0,0,0,0,0,0,0,0,0,0%
181,ATTOCK,"FATEH JANG","BAHTER - FEMALE",37120261,"GGPS KOT ZAINDI",0,0,0,0,0,0,0,0,0,0%
182,ATTOCK,"FATEH JANG","BAHTER - FEMALE",37120176,"GGPS PERO SHAHI",22,29,24,32,30,35,54,59,59,100%
183,ATTOCK,"FATEH JANG","BAHTER - FEMALE",37120167,"GGPS SAHIB KHAN",9,13,10,44,47,49,53,60,59,100%
184,ATTOCK,"FATEH JANG","BAHTER - FEMALE",37120185,"GPS MODEL KAMAL PUR MAYAN",0,0,0,0,0,0,0,0,0,0%
185,ATTOCK,"FATEH JANG","BAHTER - MALE",37120110,"GES BHATU",65,68,69,45,51,47,110,119,116,100%
186,ATTOCK,"FATEH JANG","BAHTER - MALE",37120062,"GES DHAREK",229,229,248,1,2,1,230,231,249,5.3%
187,ATTOCK,"FATEH JANG","BAHTER - MALE",37120063,"GES PIND FAZAL KHAN",200,218,230,0,0,0,200,218,230,60%
188,ATTOCK,"FATEH JANG","BAHTER - MALE",37120064,"GES SAHIB KHAN",41,41,45,0,0,0,41,41,45,0%
189,ATTOCK,"FATEH JANG","BAHTER - MALE",37120120,"GPS CHARRAT",52,57,60,1,2,1,53,59,61,75%
190,ATTOCK,"FATEH JANG","BAHTER - MALE",37120114,"GPS DHOK MACHIAN",0,0,0,0,0,0,0,0,0,0%
191,ATTOCK,"FATEH JANG","BAHTER - MALE",37120162,"GPS DHOK MERA",0,0,0,0,0,0,0,0,0,0%
192,ATTOCK,"FATEH JANG","BAHTER - MALE",37120065,"GPS DHOK MIAN HASOO",0,0,0,0,0,0,0,0,0,0%
193,ATTOCK,"FATEH JANG","BAHTER - MALE",37120296,"GPS DHOK OTHIAN",0,0,0,0,0,0,0,0,0,0%
194,ATTOCK,"FATEH JANG","BAHTER - MALE",37120302,"GPS DHOK SARWALI DAKHLI DHRIEK",0,0,0,0,0,0,0,0,0,0%
195,ATTOCK,"FATEH JANG","BAHTER - MALE",37120107,"GPS KATHA COLONY",0,0,0,0,0,0,0,0,0,0%
196,ATTOCK,"FATEH JANG","BAHTER - MALE",37120113,"GPS KOT ZAINDI",0,0,0,0,0,0,0,0,0,0%
197,ATTOCK,"FATEH JANG","BAHTER - MALE",37120115,"GPS PIND NIAZI",0,0,0,0,0,0,0,0,0,0%
198,ATTOCK,"FATEH JANG","BAHTER - MALE",37120118,"GPS SADQAL",192,197,207,72,82,78,264,279,285,71.4%
